[-261.7826172597596, -77.8936392002483]
[-84.28525063805759, -117.57641226375017]
[37.73118314678507, -52.75631453899867]
[-19.620636167574723, -5.791267992259305]
[-1.848405806032325, 1.0447658475711172]
[-17.487400268268352, 6.598212434142381]
[-2.453364258305566, 0.28523642313148323]
[-44.31110293238965, 56.87198970633198]
[38.45268448393618, 48.87686173845014]
[1.427787762917486, -16.717878222260396]
[-1.2192409927858776, -13.963114255572872]
[-2.3665428029699545, -3.0683620447359026]
[1.0561676054625373, -1.1470005080277366]
[-9.204128511421832, -3.5136888818364582]
[9.03503679315128, -3.6723850185055777]
[3.5593891968052453, -0.8272387230731031]
[-8.648463837766448, -2.2041861641266296]
[4.166950536444152, -5.2709567971753835]
[-5.0483195997859935, -6.41799622763474]
[-0.4872549888394655, 1.8620986367437222]
[0.3003197111920137, -0.15461963272174017]
[-0.713348454800796, -0.339205794695447]
[-0.17496452080495928, 1.1263559575862603]
[-3.3966357954407274, -1.40961437403298]
[3.214046762958181, -1.3307683480512216]
[0.42747214135168754, 0.09486537177523502]
[0.5207084687648607, 0.22033731670459655]
[-2.0056755677220504, 2.3421556658049862]
[0.6601187169064993, 0.7395252632154756]
[0.39749720937773914, -1.0712535968336097]
[-0.38187468707525873, -3.067481308809862]
[2.3872200672170445, 3.7095900668870136]
[-0.37366102934528644, 0.7172643803231793]
[2.968208417233633, 0.8049621972986474]
[-0.6381296580962359, 0.19485395419684348]
[3.1797856144204024, -0.6564198475055436]
[0.30672853907711994, 0.32087278995955515]
[0.8281408872634684, -1.1740076388625482]
[1.4390259678918111, 1.5916052222891075]
[-0.2530356459648866, 0.3570501177168097]
[-0.1868090220145011, -0.040911341321818284]
[-0.5929680213118056, -1.3129189774849026]
[-0.4797993260847533, 0.5153780124570497]
[-0.5419562861133302, -0.20711217088844824]
[-0.46264376956491104, 0.09885502027507886]
[1.1621403713018763, 0.17967408814929886]
[-1.4841299510912456, -0.19752703911242708]
[-1.786288564934548, 1.5956700165549913]
[0.18114981323113666, -0.12459019978254027]
[0.32717138573639426, -0.6839618995403041]
[0.06606992914780085, 0.26601762072064705]
[-0.09921398396783765, -0.08758790843255193]
[-0.01459264058494325, 0.010852047003593768]
[-0.7051276595508291, -0.11765315527856313]
[0.313982699379008, -0.17225481437905676]
[-1.446625720394855, 0.056918486479997976]
[-0.5017403945112302, -0.21065188213810315]
[1.232430715706455, -1.0827367893828068]
[-0.41815593647243954, -0.5602683156061576]
[0.03933544800019906, -1.0268562198080229]
[-0.2805334997968889, -1.3774788329190786]
[-0.2308570347687562, -0.16898731366304973]
[-0.2109789374074842, 0.8095762186792574]
[0.1521563323666606, 0.10314338286992109]
[-0.433599024288977, 0.28237807816613614]
[0.06400130963335937, -0.25779732665530986]
[0.8142397682222964, 0.005186458906915825]
[-0.4171788880144335, 0.16759818659964762]
[0.5689154897246017, 0.5941607453646082]
[0.4376711586126997, -0.8095557913017929]
[-0.2766724628355113, 0.010628063891590218]
[0.5017102274337186, 1.2896276924725218]
[-0.2661827021480193, 0.7594329135166757]
[1.1574092361536494, 0.43467620877631524]
[-0.1543337793947862, 0.03529156432573667]
[0.3454264223935271, -0.0736706352395507]
[-0.016338434719106676, 0.016222340124840973]
[-0.23580032806953677, 0.22589938646061847]
